Tháng,Shop,Nhóm,Doanh thu,Target,Chi phí Ads,Số đơn,% tăng trưởng KH,Số đơn KH,Trần Ads % KH,Nhãn,Ghi chú,Thứ tự
2026-06,Sakawin Hà Nội,Shopee,6131586972,,,,,,,,,1
2026-06,Sakawin HCM,Shopee,4037938561,,,,,,,,,2
2026-06,Sakawin Flagship,Shopee,1775469554,,,,,,,,,3
2026-06,Shopee Unicorn,Shopee,256749827,,,,,,,,,4
2026-06,Shopee Kitab,Shopee,103737842,,,,,,,,,5
2026-06,Tiktok Sakawin,TikTok,3201934459,,,,,,,,,6
2026-06,Facebook,Kênh khác,743950000,,,,,,,,,7
2026-06,Đơn Ngoài,Kênh khác,165344100,,,,,,,,,8
2026-06,Aeon Tân Phú,Offline,59043000,,,,,,,,,9
2026-06,Aeon Bình Tân,Offline,106759000,,,,,,,,,10
2026-06,Aeon Bình Dương,Offline,121242500,,,,,,,,,11
2026-06,Aeon Tân An,Offline,34572500,,,,,,,,,12
2026-06,GO! Đồng Nai,Offline,5380000,,,,,,,,,14
2026-06,GO! Cần Thơ,Offline,19480000,,,,,,,,,15
2026-07,Sakawin Hà Nội,Shopee,5600000000,8584221761,343100099,3700,40,5180,6,,Ads tối thiểu phải chạy: 416.000.000đ (hoàn gói),1
2026-07,Sakawin HCM,Shopee,4450000000,5653113985,255810615,2600,40,3640,6,,Ads tối thiểu phải chạy: 312.000.000đ (hoàn gói),2
2026-07,Sakawin Flagship,Shopee,1850000000,2485657376,83679714,1200,40,1680,4.5,,,3
2026-07,Shopee Unicorn,Shopee,350000000,359449758,24457323,460,40,644,7,,,4
2026-07,Shopee Kitab,Shopee,121000000,145232979,12327022,130,40,182,10,,,5
2026-07,Tiktok Sakawin,TikTok,3400000000,4482708243,315021745,1686,35,2276,9,,"Hạ chi phí Ads: 9,2% → 9,0%",6
2026-07,Facebook,Kênh khác,697170000,1500000000,206632665,147,30,191,25,,,7
2026-07,Đơn Ngoài,Kênh khác,223545958,,0,,20,,0,,,8
2026-07,Aeon Tân Phú,Offline,83022500,118086000,,24,60,27,2,,,9
2026-07,Aeon Bình Tân,Offline,75445100,160138500,,21,70,17,2,,,10
2026-07,Aeon Bình Dương,Offline,142354050,181863750,,43,40,47,2,TOP SALE 🔥,,11
2026-07,Aeon Tân An,Offline,68551500,69145000,,14,50,21,2,VỀ SỐ ✓,,12
2026-07,Aeon Tạ Quang Bửu,Offline,36689000,100000000,,14,40,7,2,,"Điểm mới, T6 chưa có số nền",13
2026-07,GO! Đồng Nai,Offline,42350000,134500000,,20,200,19,2,,"Mới khai trương, nền T7 thấp",14
2026-07,GO! Cần Thơ,Offline,83870000,136360000,,27,70,28,2,TĂNG TRƯỞNG TỐT 🟢,,15
